,SITE NAME,z_score,in_deformation
0,Mawson station,0.29020091415240057,False
1,Syowa,1.6754096808654366,False
2,ILE DE LA POSSE,0.34154222874729395,False
3,Kerguelen,1.290614158186988,False
4,Davis,0.19965280375304756,False
5,Guatemala city,30.79336598280778,True
6,Santa Elena,5.150161953237442,False
7,Puerto_Escondid,2.991916067347774,True
8,UWI_Mona_JAM201,0.40071351094969243,True
9,Cayaco,0.9160916617445004,True
10,KINGSTON,0.42912510245250773,True
11,Campeche,2.6051424427023395,False
12,George Town,2.941817486280661,True
13,PedroCay_JAM201,0.8539569947230361,False
14,SANTIAGO DE CUB,19.407501901075328,True
15,Saint-Paul (Isl,2.159346479920608,True
16,Manzanillo - Un,2.9256498006218696,True
17,Sanae,2.8766248205076,False
18,Tampico,3.8110698720227467,False
19,Niebla,37.84907600566664,True
20,Osorno,29.8368473717433,True
21,Concepcion,66.89962172089967,True
22,Coyhaique,3.2102177191784538,True
23,Callao,56.30565576167626,True
24,Antuco,2.1805532634641596,True
25,Valparaiso,35.40648097109454,True
26,Casey,1.0736432304960297,False
27,Punta Arenas I,7.076408787421522,True
28,Aguascalientes,23.84633301649099,False
29,Santiago,33.18979616617326,True
30,KEY WEST NAVAL,0.8184803785245429,False
31,Malargue,7.3391949100537115,True
32,Rio Grande,3.9126239355353425,True
33,Copiapo,44.77581447047915,True
34,Rio Bamba,4.572844582088787,True
35,San Juan,4.954408681380138,True
36,Centre National,0.3259452518662626,True
37,Caucete,0.20981237116094759,True
38,Rawson,0.3248238309545519,False
39,Lihue Calel,4.42839805305693,False
40,RICHMOND,2.581834653346768,False
41,General Conesa,8.63641863705944,False
42,FLIU,1.2268725565337404,False
43,Virginia Key -,3.2081207061395696,False
44,"NAPLES, FLORIDA",1.3443727281676048,False
45,Nassau,8.693892987426366,False
46,San Fernando de,5.781877466831454,False
47,Iquitos,2.009053001145917,False
48,Cordoba GPS sit,2.238273696362038,False
49,Laguna Vista,1.018238687440547,False
50,Fort Myers,1.4076219828751726,False
51,Bahia Blanca,2.2153419567755583,False
52,Salta,1.8176012438086577,False
53,Monterrey,3.5012841360710283,False
54,Stanley,2.6817608533086483,False
55,Port Stanley -,0.5973634523538353,False
56,"OKEECHOBEE, FLO",1.6235249666196307,False
57,Rio Branco,1.6858365009716476,False
58,Yacuiba,0.33538527673356067,False
59,Mac Dill AFB,3.046398576518487,False
60,Prvdncia_COL201,0.09439455349099751,False
61,Universidad de,1.0651241043582333,False
62,Mar del Plata,0.15432623572028506,False
63,Buenos Aires,0.04122512676114338,False
64,La Plata - Arge,0.2365844447065033,False
65,Laguna Yema,1.3726566411789671,False
66,La Plata,1.6937322388886134,False
67,CORPUS CHRISTI,0.7067044795479229,False
68,Guajara-Mirim,3.516813761718126,False
69,Rockport,0.21467449041733833,False
70,Chaco,1.3303164198172381,False
71,Montevideo,0.20972277876483783,False
72,Montevideo - Pa,0.7546559459245115,False
73,Grand Isle,10.822962323812401,False
74,CAP CANAVERAL I,0.12827803280925326,False
75,Ascension III,0.9427163877773619,False
76,Porto Velho,0.2691176765475436,False
77,Tacuarembo,0.47061910579287963,False
78,Sao Gabriel,0.6067525647902445,False
79,CLUTE COOP,1.6858772516749074,False
80,GALVESTON,1.457097939154822,False
81,Tefe,0.9784850883142774,False
82,Shell Beach,0.8199981100287832,False
83,Colorado d Oest,1.0907699506375288,False
84,Loyola Universi,0.1961465662635315,False
85,Santa Maria,0.454310929394664,False
86,"GAINESVILLE, FL",2.027662653008338,False
87,MOBILE,4.487938984667638,False
88,San Vicente,3.6749720429441353,False
89,Dauphin Island,0.26061273151247133,False
90,Esteli,1.8447826620061958,True
91,Lake Houston,0.9580425240286191,False
92,Pensacola,1.0822698465619645,False
93,Liberty,2.3115655211941553,False
94,ALDOT 9 DIV OFF,0.7877785567226172,False
95,Porto Alegre,1.0086378683415886,False
96,Hondo,0.07260299949344291,False
97,Campo Grande,4.111738083600013,False
98,Cuiba,1.8903032753152553,False
99,SanAndresCOL200,0.950645146840333,False
100,Santo Domingo,0.8919352493279848,True
101,ALDOT 9 DIV DIS,1.019839304589583,False
102,Rosana,6.239154957059011,False
103,King Edward Poi,6.0304787976861345,False
104,Manaus,1.2962458709924278,False
105,San Salvador,0.8192306821850629,True
106,Sorriso,3.37754251101451,False
107,Presidente Prud,0.33790007760050544,False
108,Imbituba,0.26267235871683425,False
109,Colider,1.3751912141114766,False
110,Boa Vista,0.9346638878772874,False
111,Andalusia Pol D,0.28960101537436855,False
112,Ilha Solteira,0.04374931480790795,False
113,Curitiba - Para,0.6109588085608951,False
114,Austin III,0.11609935107192786,False
115,Tupa - Sao Paul,1.1102936855006857,False
116,Jatai,0.21638164429193088,False
117,Cananeia,0.056764531123704276,False
118,Itaituba,1.5987694548305187,False
119,Sicily Island,0.19739198871444835,False
120,University of U,0.08903785207934561,False
121,Inconfidentes,1.653151202414883,False
122,Cachoeira Pauli,0.14500708297839393,False
123,San Pedro de Ma,0.8511839920841497,True
124,Brasilia,0.027638784752118204,False
125,PRedio da Hora,0.5340922522548303,False
126,Palmas,0.005826630912499469,False
127,Belo Horizonte,0.41274226405582887,False
128,Macapa,0.09969425438887873,False
129,Montes Claros,3.0379880443929888,False
130,KOUROU,1.047598252731445,False
131,Ile Royale,0.6583254752884717,False
132,Cayenne,1.3252764674455113,False
133,Barreiras,0.8551244826220347,False
134,Imperatriz,1.083424130773383,False
135,Vitoria,0.30919874755949545,False
136,Tyler,1.107587633609914,False
137,Belem,1.342282019416646,False
